iter	Logloss
0	0.6753141235
1	0.6603523315
2	0.6468720734
3	0.634875296
4	0.625508725
5	0.6165603699
6	0.6089953949
7	0.6026928497
8	0.597443576
9	0.5918209625
10	0.5873631592
11	0.5830060242
12	0.5793441071
13	0.5760472198
14	0.5735871704
15	0.5711545685
16	0.5685494293
17	0.5664718842
18	0.5648536865
19	0.5629561523
20	0.5613504852
21	0.5597045013
22	0.5584079193
23	0.5571927673
24	0.5560681061
25	0.5549924286
26	0.5538583344
27	0.5527341125
28	0.5514549835
29	0.5505485199
30	0.5498036469
31	0.5490073181
32	0.5481554535
33	0.5473480804
34	0.5462114258
35	0.5455230927
36	0.5447197388
37	0.5440170441
38	0.543439386
39	0.5429242523
40	0.5423759583
41	0.5418544556
42	0.5409886414
43	0.540453775
44	0.5399594604
45	0.5394637756
46	0.538890448
47	0.5385307037
48	0.537766272
49	0.5373596313
50	0.5369996765
51	0.5361342224
52	0.5356765106
53	0.5350839661
54	0.5347289001
55	0.5342972992
56	0.5338135834
57	0.5334081482
58	0.5330454559
59	0.5327507874
60	0.5323650177
61	0.5320221313
62	0.5316413727
63	0.5313154175
64	0.5309009186
65	0.5305147522
66	0.5302236115
67	0.5299990906
68	0.5297129852
69	0.5292843597
70	0.5288897766
71	0.5282663147
72	0.5279026154
73	0.527676178
74	0.5272122681
75	0.5268425537
76	0.5265148895
77	0.5262478699
78	0.5258678375
79	0.5256089264
80	0.5252494263
81	0.524825296
82	0.5245793274
83	0.5242639832
84	0.5240718872
85	0.5236297699
86	0.5234392822
87	0.5230117157
88	0.5226201385
89	0.5223389587
90	0.5219775909
91	0.5217599854
92	0.5214675476
93	0.5211031433
94	0.5206497742
95	0.5202988098
96	0.5200091583
97	0.5196482635
98	0.5193358124
99	0.5185950409
100	0.5181115845
101	0.5175812042
102	0.5174390198
103	0.5171280518
104	0.5167112854
105	0.5164314148
106	0.5160937714
107	0.5157486053
108	0.5154217651
109	0.5150530029
110	0.5147538452
111	0.5145314606
112	0.5140611359
113	0.5137521057
114	0.5134465912
115	0.5131868988
116	0.5127733307
117	0.5126097717
118	0.5123699097
119	0.5121910797
120	0.511922522
121	0.5117971771
122	0.5115695587
123	0.5111526062
124	0.5108065826
125	0.5104604645
126	0.5103129669
127	0.5100657959
128	0.5096568695
129	0.5094302429
130	0.5092406128
131	0.5091354004
132	0.5089395294
133	0.5088724945
134	0.5086026245
135	0.5082299896
136	0.5080661224
137	0.5078475067
138	0.5075461334
139	0.507322229
140	0.5069332489
141	0.5065900818
142	0.5062765167
143	0.5060826904
144	0.5056040131
145	0.505353894
146	0.5050685455
147	0.5048229248
148	0.5046126404
149	0.5044897675
150	0.5041582001
151	0.5037595306
152	0.5035627869
153	0.5032463379
154	0.5030966156
155	0.5028684875
156	0.5025918915
157	0.5023589172
158	0.502123175
159	0.50170914
160	0.5015410736
161	0.5011631012
162	0.5008174713
163	0.5006479584
164	0.5003006256
165	0.5000144836
166	0.4997512787
167	0.4995039154
168	0.49927659
169	0.4989728119
170	0.4988333649
171	0.4985943359
172	0.498409613
173	0.4982207977
174	0.4980345612
175	0.4977539642
176	0.4974765564
177	0.4973183105
178	0.4969852692
179	0.4967328094
180	0.4964495972
181	0.4961510132
182	0.4958959473
183	0.4956118408
184	0.4954898468
185	0.495311795
186	0.4951151031
187	0.4949561066
188	0.4946410767
189	0.4944763702
190	0.4942296234
191	0.4938805756
192	0.4936438263
193	0.4934248688
194	0.4931838135
195	0.4929683716
196	0.4927021484
197	0.4923909851
198	0.4922219971
199	0.4921093567
200	0.4918912567
201	0.4916974091
202	0.4915537537
203	0.4913539032
204	0.4911321655
205	0.4908891479
206	0.4905003143
207	0.4901305542
208	0.4898258301
209	0.4894621216
210	0.4892667084
211	0.4891550201
212	0.4888402069
213	0.4886217041
214	0.4881754608
215	0.4879915619
216	0.4877550934
217	0.4876406586
218	0.4874551422
219	0.4871257965
220	0.486839856
221	0.4866030243
222	0.4864547028
223	0.4863090332
224	0.4859994843
225	0.4856103851
226	0.485451297
227	0.4850816864
228	0.4847994354
229	0.4845581207
230	0.484262381
231	0.4839365875
232	0.4837228088
233	0.4835764526
234	0.4834448059
235	0.4832755676
236	0.4830901367
237	0.4828406189
238	0.4826884583
239	0.4823912659
240	0.4821773407
241	0.4820361572
242	0.4818388885
243	0.4816853607
244	0.481594223
245	0.4814683228
246	0.4812080963
247	0.4809935974
248	0.4807312744
249	0.4805062286
250	0.4803266418
251	0.4801751617
252	0.4800062683
253	0.4798508789
254	0.4796011169
255	0.4794029053
256	0.4791490204
257	0.4789528717
258	0.4786653809
259	0.4785036316
260	0.4782301178
261	0.4779228546
262	0.4777283386
263	0.4776561646
264	0.4774118011
265	0.4772138397
266	0.4770284393
267	0.476663205
268	0.4763079376
269	0.4760606689
270	0.4759082886
271	0.4757897552
272	0.4755170868
273	0.4752615631
274	0.475112851
275	0.474972467
276	0.4748320282
277	0.4745036713
278	0.4743268982
279	0.474139624
280	0.4738565216
281	0.4736045929
282	0.4734920502
283	0.4733908966
284	0.4731393555
285	0.4730319611
286	0.4728962219
287	0.4727037506
288	0.4724835693
289	0.4721088165
290	0.4718975525
291	0.4717905548
292	0.4716493011
293	0.47149328
294	0.4713195862
295	0.4712150146
296	0.4709655212
297	0.4707310577
298	0.4705190277
299	0.4703530182
300	0.4700812622
301	0.4699895752
302	0.4696263824
303	0.4694154938
304	0.469237796
305	0.4691277954
306	0.4689831604
307	0.4686588165
308	0.4684166412
309	0.4681851624
310	0.4679978577
311	0.4677360565
312	0.4675566437
313	0.4673781525
314	0.4671951141
315	0.4670730835
316	0.4669761566
317	0.4668383667
318	0.4667292297
319	0.4664245331
320	0.4661902252
321	0.4660624969
322	0.4659202209
323	0.4656183838
324	0.4653338348
325	0.4652234497
326	0.4650476868
327	0.4648123505
328	0.4645339539
329	0.464293573
330	0.4640736969
331	0.4639502625
332	0.4638386841
333	0.4636025177
334	0.4634780121
335	0.4632941986
336	0.4631750946
337	0.4630718353
338	0.4629012177
339	0.4626823456
340	0.462483078
341	0.4622989868
342	0.4621931366
343	0.4620022522
344	0.4617976868
345	0.4616727936
346	0.4615165375
347	0.461303717
348	0.461178891
349	0.4610647156
350	0.4609254517
351	0.460752655
352	0.4605647339
353	0.4604155182
354	0.4602998627
355	0.4601684326
356	0.4599838623
357	0.4598050781
358	0.4596504425
359	0.4595076935
360	0.4593086731
361	0.4591843872
362	0.4590245209
363	0.4588068085
364	0.4586647736
365	0.4585241974
366	0.4582792358
367	0.4580558868
368	0.457901004
369	0.4577501099
370	0.4575201965
371	0.4574087463
372	0.4571646088
373	0.4569858032
374	0.4568186066
375	0.456644928
376	0.4564544067
377	0.4563843262
378	0.45630979
379	0.4562467346
380	0.4561127686
381	0.4559995392
382	0.4557785339
383	0.4555664703
384	0.4554018341
385	0.4552848602
386	0.4551386688
387	0.4549209595
388	0.4547998383
389	0.4545792786
390	0.4544824402
391	0.4543342102
392	0.4541128235
393	0.4539205414
394	0.4538350464
395	0.4536100555
396	0.4534880737
397	0.4533556335
398	0.4531862579
399	0.4529827393
400	0.4528278534
401	0.4525857697
402	0.4524790131
403	0.4523075043
404	0.4522036804
405	0.4520656219
406	0.4517880676
407	0.4516072327
408	0.4514297363
409	0.4512793732
410	0.4510702057
411	0.4509100677
412	0.4506651337
413	0.4505166962
414	0.4503052399
415	0.4501465698
416	0.4500129425
417	0.4498972534
418	0.4497377289
419	0.4496575928
420	0.4495887695
421	0.4494237213
422	0.4492502655
423	0.4491411499
424	0.449018808
425	0.4488006165
426	0.4486445679
427	0.4484879303
428	0.4483487427
429	0.448156311
430	0.4479546509
431	0.4478044189
432	0.4477150879
433	0.4475110809
434	0.4473729187
435	0.4472412689
436	0.4471073761
437	0.4469693359
438	0.4468675873
439	0.4467194122
440	0.4465467255
441	0.4463875397
442	0.4462228485
443	0.4461112457
444	0.4460271576
445	0.4459055542
446	0.4456387573
447	0.4454884918
448	0.4453659576
449	0.4452796906
450	0.4450879395
451	0.4448342896
452	0.4447101135
453	0.4446028076
454	0.4444640198
455	0.4443667694
456	0.4442380157
457	0.444062384
458	0.4439138245
459	0.4437944855
460	0.4437323547
461	0.443656665
462	0.4434586914
463	0.4432730011
464	0.4431370636
465	0.4430296082
466	0.4428915985
467	0.4426970703
468	0.4426141418
469	0.4425023468
470	0.4423992004
471	0.4422511139
472	0.4421037567
473	0.441930246
474	0.441749704
475	0.4416872345
476	0.4415607056
477	0.441436676
478	0.4412283508
479	0.4410776764
480	0.4410172485
481	0.4409164185
482	0.4407578369
483	0.4406353577
484	0.4404977448
485	0.4403574036
486	0.4402847443
487	0.4401597382
488	0.4400286896
489	0.4397731018
490	0.4396242737
491	0.4395231384
492	0.4393654999
493	0.4392172363
494	0.4390920563
495	0.4389752899
496	0.4388390594
497	0.438641037
498	0.4385361938
499	0.4384409332
500	0.4383086517
501	0.4382215637
502	0.4380667847
503	0.4379140808
504	0.437788205
505	0.4376867523
506	0.4375774628
