iter	Passed	Remaining
0	258	387061
1	387	290158
2	537	268366
3	673	251846
4	789	236018
5	902	224780
6	1022	218047
7	1149	214325
8	1286	213082
9	1414	210730
10	1545	209236
11	1670	207154
12	1790	204837
13	1916	203397
14	2053	203309
15	2188	202985
16	2325	202835
17	2445	201352
18	2560	199606
19	2678	198179
20	2795	196874
21	2919	196158
22	3031	194697
23	3176	195332
24	3323	196061
25	3445	195347
26	3553	193881
27	3660	192432
28	3770	191234
29	3875	189888
30	3983	188749
31	4100	188102
32	4206	187000
33	4319	186252
34	4427	185341
35	4541	184703
36	4654	184058
37	4764	183318
38	4873	182573
39	4987	182058
40	5093	181254
41	5205	180706
42	5316	180147
43	5422	179422
44	5524	178620
45	5635	178139
46	5746	177647
47	5851	177018
48	5958	176434
49	6065	175895
50	6180	175594
51	6295	175297
52	6408	174955
53	6519	174570
54	6625	174059
55	6730	173555
56	6839	173141
57	6950	172816
58	7081	172968
59	7200	172810
60	7316	172595
61	7428	172302
62	7538	171944
63	7647	171598
64	7750	171109
65	7859	170764
66	7972	170523
67	8083	170219
68	8201	170089
69	8326	170098
70	8451	170091
71	8555	169683
72	8666	169418
73	8775	169105
74	8901	169120
75	9024	169088
76	9146	169039
77	9285	169287
78	9405	169188
79	9532	169209
80	9658	169205
81	9768	168927
82	9882	168715
83	10004	168646
84	10119	168456
85	10240	168364
86	10354	168172
87	10470	168007
88	10588	167870
89	10705	167716
90	10813	167437
91	10920	167127
92	11036	166975
93	11142	166669
94	11257	166489
95	11366	166240
96	11471	165917
97	11582	165703
98	11684	165347
99	11789	165051
100	11905	164907
101	12019	164741
102	12136	164602
103	12270	164702
104	12417	164979
105	12560	165182
106	12747	165952
107	12926	166611
108	13106	167259
109	13229	167169
110	13344	166981
111	13464	166867
112	13592	166844
113	13714	166737
114	13834	166620
115	13945	166379
116	14052	166104
117	14166	165919
118	14284	165767
119	14419	165819
120	14581	166181
121	14716	166220
122	14853	166287
123	14961	166019
124	15069	165762
125	15175	165482
126	15285	165256
127	15397	165037
128	15500	164735
129	15620	164614
130	15726	164343
131	15833	164087
132	15946	163901
133	16055	163671
134	16167	163475
135	16280	163283
136	16386	163030
137	16496	162817
138	16596	162501
139	16713	162364
140	16818	162103
141	16929	161900
142	17045	161754
143	17165	161645
144	17280	161484
145	17389	161268
146	17494	161021
147	17607	160844
148	17710	160581
149	17827	160445
150	17934	160220
151	18050	160076
152	18154	159833
153	18265	159642
154	18372	159427
155	18488	159289
156	18601	159116
157	18702	158855
158	18812	158664
159	18916	158422
160	19044	158385
161	19163	158273
162	19277	158123
163	19398	158022
164	19513	157878
165	19636	157798
166	19754	157678
167	19865	157506
168	19987	157413
169	20109	157327
170	20228	157214
171	20345	157087
172	20469	157011
173	20580	156834
174	20689	156650
175	20800	156475
176	20910	156293
177	21012	156062
178	21134	155967
179	21255	155873
180	21376	155773
181	21502	155712
182	21612	155538
183	21724	155376
184	21829	155168
