iter	R2	RMSE
0	0.08407638322	15.35129487
1	0.1614903599	14.68822833
2	0.2309164949	14.06702093
3	0.2950130718	13.46808713
4	0.3529965202	12.90234627
5	0.4064260234	12.35813148
6	0.4552117274	11.83938818
7	0.4989687226	11.35397161
8	0.5391688688	10.88895718
9	0.5756935698	10.44852995
10	0.6087550119	10.03320714
11	0.6391386276	9.635751323
12	0.6665208212	9.262959107
13	0.6912513753	8.912876749
14	0.7140855579	8.576960926
15	0.7352704379	8.253090467
16	0.7530931919	7.970433042
17	0.7698707895	7.694869499
18	0.784460962	7.446948581
19	0.7985895131	7.198738947
20	0.8118068628	6.95852635
21	0.8241366024	6.726716348
22	0.8351375852	6.512927046
23	0.8450759906	6.313566353
24	0.8539144744	6.130825836
25	0.8623414153	5.951371147
26	0.8703359832	5.775972552
27	0.8772088007	5.620811301
28	0.8837839324	5.468251403
29	0.8896380525	5.32874653
30	0.8953605704	5.18875383
31	0.9004794245	5.060248264
32	0.9051650476	4.939688925
33	0.9094085887	4.827907024
34	0.9133586218	4.721478985
35	0.9170206418	4.620621779
36	0.9202381146	4.530155302
37	0.9232024857	4.445176062
38	0.9259886372	4.363797464
39	0.9287947897	4.280271051
40	0.9312684395	4.205266149
41	0.9336195456	4.132715371
42	0.93571745	4.066885386
43	0.9374906223	4.010402596
44	0.9393187577	3.951323766
45	0.941155192	3.891073729
46	0.9428850886	3.833452965
47	0.9443419368	3.784246604
48	0.9457119244	3.737383023
49	0.9471300665	3.688245041
50	0.9482025665	3.650644185
51	0.9491656855	3.616544978
52	0.9501677954	3.580720605
53	0.9511190905	3.546377998
54	0.9520783401	3.511408139
55	0.9527949028	3.485056578
56	0.9536143927	3.454673498
57	0.9544170008	3.424655049
58	0.9552102975	3.394724026
59	0.9556887398	3.376544173
60	0.9563543529	3.351088162
61	0.9569091053	3.329723269
62	0.9574726918	3.307876848
63	0.9581165581	3.282740604
64	0.9585876138	3.264228203
65	0.9589849338	3.248531584
66	0.9595793057	3.224907554
67	0.960047085	3.2061927
68	0.960522194	3.187072105
69	0.9609552757	3.169542397
70	0.961404458	3.151257972
71	0.9616955266	3.139352862
72	0.9620687451	3.124021331
73	0.9624904962	3.106605056
74	0.962901443	3.089540507
75	0.9632377705	3.07550407
76	0.9636127382	3.059779092
77	0.9639024634	3.047573354
78	0.9642429069	3.033168156
79	0.9645468015	3.020251415
80	0.9649653323	3.002371205
81	0.9653073563	2.987680023
82	0.9654798577	2.980242981
