iter	Passed	Remaining
0	179	179027
1	201	100323
2	220	73172
3	240	59872
4	258	51449
5	277	46019
6	299	42453
7	329	40818
8	349	38499
9	371	36804
10	396	35662
11	420	34648
12	443	33654
13	466	32876
14	493	32408
15	515	31677
16	539	31177
17	563	30760
18	587	30332
19	610	29908
20	635	29608
21	656	29191
22	682	28971
23	707	28772
24	731	28517
25	756	28341
26	780	28139
27	805	27970
28	830	27812
29	856	27708
30	881	27563
31	907	27464
32	933	27350
33	955	27145
34	979	26999
35	1004	26895
36	1029	26781
37	1053	26680
38	1077	26555
39	1101	26429
40	1125	26332
41	1152	26287
42	1176	26173
43	1201	26116
44	1228	26078
45	1249	25914
46	1273	25820
47	1298	25759
48	1320	25638
49	1344	25545
50	1369	25479
51	1392	25385
52	1420	25373
53	1444	25309
54	1468	25234
55	1493	25173
56	1516	25082
57	1542	25045
58	1565	24970
59	1589	24908
60	1613	24840
61	1637	24780
62	1662	24726
63	1687	24685
64	1709	24594
65	1733	24528
66	1758	24484
67	1779	24392
68	1799	24281
69	1820	24182
70	1842	24102
71	1864	24036
72	1888	23982
73	1915	23970
74	1940	23931
75	1969	23943
76	1994	23906
77	2020	23884
78	2045	23849
79	2070	23812
80	2100	23831
81	2123	23777
82	2147	23721
83	2169	23661
84	2192	23599
85	2218	23573
86	2242	23534
87	2267	23494
88	2291	23451
89	2315	23411
90	2339	23366
91	2361	23305
92	2384	23252
93	2408	23212
94	2433	23185
95	2457	23137
96	2497	23252
97	2526	23254
98	2553	23237
99	2578	23203
100	2601	23155
101	2627	23129
102	2650	23084
103	2676	23061
104	2702	23034
105	2739	23102
106	2765	23080
107	2793	23071
108	2817	23030
109	2856	23114
110	2881	23076
111	2908	23057
112	2933	23025
113	2958	22993
114	2983	22957
115	3016	22987
116	3040	22948
117	3066	22923
118	3096	22925
119	3123	22903
120	3150	22885
121	3174	22844
122	3200	22817
123	3223	22769
124	3248	22741
125	3274	22713
126	3301	22696
127	3328	22674
128	3357	22668
129	3384	22651
130	3408	22612
131	3432	22572
132	3457	22535
133	3485	22526
134	3514	22521
135	3539	22487
136	3566	22468
137	3591	22433
138	3614	22391
139	3638	22348
140	3662	22313
141	3686	22272
142	3707	22218
143	3727	22159
144	3748	22103
145	3771	22059
146	3793	22012
147	3814	21959
148	3835	21907
149	3857	21861
150	3879	21812
151	3901	21768
152	3926	21736
153	3947	21687
154	3969	21638
155	3990	21589
156	4012	21545
157	4037	21514
158	4060	21478
159	4088	21463
160	4113	21437
161	4140	21420
162	4165	21389
163	4191	21367
164	4216	21336
165	4248	21345
166	4277	21335
167	4302	21309
168	4343	21359
169	4372	21347
170	4398	21323
171	4427	21311
172	4458	21312
173	4489	21313
174	4517	21296
175	4542	21267
176	4570	21251
177	4597	21229
178	4624	21208
179	4655	21207
180	4683	21191
181	4708	21164
182	4735	21141
183	4763	21123
184	4787	21092
185	4815	21072
186	4841	21046
187	4870	21037
188	4897	21013
189	4922	20983
190	4949	20964
191	4973	20931
192	5005	20930
193	5034	20918
194	5061	20895
195	5086	20864
196	5110	20832
197	5134	20796
198	5160	20772
199	5187	20749
200	5218	20744
201	5245	20721
202	5269	20689
203	5295	20661
204	5321	20637
205	5346	20605
206	5373	20586
207	5398	20555
208	5426	20537
209	5459	20539
210	5488	20523
211	5516	20502
212	5545	20489
213	5573	20471
214	5602	20455
215	5632	20444
216	5659	20422
217	5690	20412
218	5722	20408
219	5751	20393
220	5777	20364
221	5801	20332
222	5827	20306
223	5856	20289
224	5884	20267
225	5907	20231
226	5933	20206
227	5955	20163
228	5975	20119
229	5995	20072
230	6027	20065
231	6060	20063
232	6098	20075
233	6122	20043
234	6150	20022
235	6181	20012
236	6212	19999
237	6245	19994
238	6284	20009
239	6314	19994
240	6338	19963
241	6364	19936
242	6389	19904
243	6415	19876
244	6444	19858
245	6470	19832
246	6498	19810
247	6524	19784
248	6553	19766
249	6582	19747
250	6611	19729
251	6641	19714
252	6688	19746
253	6732	19773
254	6763	19761
255	6792	19740
256	6826	19734
257	6864	19742
258	6894	19725
259	6921	19700
260	6945	19666
261	6972	19640
262	6998	19610
263	7023	19579
264	7047	19545
265	7069	19507
266	7089	19464
267	7108	19416
268	7131	19380
269	7153	19339
270	7174	19299
271	7193	19253
272	7213	19209
273	7234	19167
274	7254	19124
275	7274	19081
276	7297	19047
277	7318	19006
278	7338	18964
279	7359	18923
280	7380	18885
281	7402	18847
282	7422	18805
283	7443	18766
284	7464	18725
285	7486	18688
286	7505	18645
287	7525	18605
288	7547	18567
289	7567	18526
290	7588	18487
291	7611	18454
292	7631	18415
293	7651	18374
294	7672	18336
295	7694	18299
296	7716	18264
297	7736	18224
298	7757	18186
299	7776	18145
300	7795	18103
301	7815	18064
302	7835	18025
303	7855	17985
304	7876	17947
305	7896	17909
306	7916	17870
307	7936	17830
308	7957	17795
309	7978	17757
310	7997	17716
311	8015	17674
312	8035	17635
313	8054	17596
314	8073	17556
315	8093	17518
316	8112	17478
317	8131	17439
318	8151	17401
319	8170	17362
320	8190	17324
321	8210	17288
322	8230	17251
323	8249	17211
324	8268	17173
325	8287	17135
326	8306	17094
327	8325	17057
328	8345	17021
329	8365	16984
330	8385	16949
331	8407	16916
332	8426	16879
333	8446	16842
334	8465	16804
335	8484	16767
336	8504	16730
337	8523	16693
338	8543	16658
339	8561	16620
340	8581	16583
341	8601	16548
342	8620	16512
343	8639	16475
344	8657	16437
345	8687	16421
346	8706	16385
347	8725	16348
348	8744	16310
349	8763	16275
350	8785	16244
351	8807	16213
352	8829	16183
353	8849	16148
354	8869	16114
355	8889	16080
356	8910	16048
357	8931	16017
358	8952	15984
359	8974	15954
360	8994	15921
361	9015	15889
362	9037	15859
363	9058	15827
364	9079	15795
365	9099	15762
366	9121	15733
367	9141	15699
368	9164	15670
369	9188	15645
370	9216	15625
371	9242	15602
372	9270	15583
373	9294	15557
374	9318	15530
375	9342	15505
376	9365	15476
377	9386	15445
378	9407	15414
379	9427	15382
380	9449	15351
381	9468	15318
382	9489	15287
383	9509	15254
384	9530	15223
385	9550	15191
386	9571	15160
387	9591	15128
388	9611	15096
389	9634	15068
390	9654	15037
391	9673	15004
392	9694	14973
393	9713	14940
394	9733	14908
395	9752	14875
396	9772	14843
397	9793	14812
