iter	Passed	Remaining
0	79	79811
1	104	51921
2	124	41320
3	142	35564
4	163	32536
5	184	30537
6	203	28937
7	229	28411
8	258	28416
9	281	27852
10	308	27697
11	333	27447
12	356	27061
13	378	26638
14	398	26154
15	418	25710
16	437	25298
17	454	24809
18	475	24547
19	497	24365
20	517	24134
21	542	24112
22	566	24043
23	588	23939
24	608	23745
25	627	23515
26	647	23348
27	671	23299
28	693	23233
29	712	23035
30	732	22887
31	750	22712
32	774	22701
33	799	22706
34	819	22608
35	848	22709
36	868	22592
37	885	22428
38	904	22281
39	924	22195
40	944	22086
41	963	21975
42	983	21884
43	1003	21810
44	1023	21718
45	1041	21607
46	1059	21483
47	1077	21379
48	1097	21300
49	1114	21184
50	1135	21132
51	1155	21058
52	1173	20975
53	1192	20886
54	1212	20829
55	1235	20828
56	1254	20751
57	1276	20725
58	1297	20695
59	1315	20604
60	1335	20555
61	1355	20511
62	1376	20479
63	1396	20429
64	1416	20381
65	1434	20301
66	1451	20209
67	1473	20198
68	1498	20216
69	1517	20159
70	1534	20075
71	1551	19994
72	1567	19901
73	1584	19828
74	1601	19753
75	1619	19686
76	1635	19605
77	1652	19530
78	1668	19455
79	1685	19385
80	1702	19312
81	1719	19249
82	1736	19186
83	1754	19136
84	1777	19132
85	1796	19089
86	1814	19038
87	1832	18994
88	1852	18958
89	1871	18924
90	1891	18898
91	1909	18850
92	1927	18795
93	1944	18745
94	1962	18696
95	1980	18651
96	1999	18609
97	2017	18565
98	2035	18524
99	2054	18487
100	2071	18442
101	2093	18432
102	2113	18404
103	2134	18391
104	2153	18354
105	2172	18324
106	2189	18272
107	2207	18235
108	2226	18202
109	2246	18174
110	2269	18175
111	2291	18169
112	2317	18191
113	2344	18221
114	2363	18190
115	2382	18156
116	2403	18135
117	2422	18109
118	2441	18071
119	2462	18061
120	2479	18015
121	2499	17986
122	2523	17992
123	2545	17985
124	2573	18011
125	2601	18045
126	2633	18105
127	2656	18095
128	2681	18105
129	2702	18085
130	2724	18073
131	2743	18042
132	2769	18056
133	2792	18044
134	2811	18012
135	2831	17988
136	2852	17967
137	2872	17940
138	2891	17912
139	2912	17891
140	2932	17864
141	2951	17835
142	2969	17795
143	2988	17763
144	3005	17722
145	3023	17687
146	3043	17662
147	3063	17633
148	3083	17609
149	3103	17588
150	3123	17559
151	3140	17520
152	3158	17485
153	3175	17447
154	3193	17411
155	3212	17382
156	3231	17352
157	3249	17317
158	3267	17284
159	3286	17252
160	3308	17240
161	3326	17207
162	3343	17168
163	3361	17135
164	3382	17115
165	3405	17107
166	3423	17075
167	3444	17056
168	3467	17052
169	3491	17045
170	3512	17026
171	3534	17016
172	3559	17017
173	3581	17000
174	3608	17010
175	3632	17006
176	3656	17003
177	3673	16964
178	3691	16931
179	3708	16893
180	3726	16862
181	3743	16827
182	3763	16802
183	3780	16764
184	3796	16726
185	3816	16700
186	3835	16675
187	3853	16645
188	3872	16617
189	3891	16589
190	3907	16549
191	3923	16511
192	3940	16477
193	3958	16447
194	3975	16410
195	3991	16373
196	4009	16343
197	4027	16315
198	4049	16299
199	4071	16286
200	4090	16260
201	4107	16227
202	4125	16196
203	4142	16162
204	4158	16127
205	4176	16097
206	4193	16065
207	4212	16041
208	4231	16014
209	4249	15987
210	4267	15957
211	4285	15929
212	4302	15896
213	4319	15865
214	4336	15833
215	4354	15806
216	4372	15776
217	4390	15747
218	4408	15723
219	4430	15706
220	4450	15686
221	4467	15655
222	4484	15624
223	4501	15596
224	4520	15570
225	4537	15541
226	4554	15510
227	4572	15482
228	4588	15449
229	4604	15416
230	4622	15387
231	4639	15357
232	4657	15331
233	4673	15299
234	4692	15274
235	4708	15242
236	4726	15215
237	4743	15186
238	4761	15161
239	4778	15131
240	4794	15100
241	4812	15072
242	4829	15045
243	4846	15017
244	4864	14989
245	4880	14959
246	4898	14932
247	4913	14900
248	4930	14869
249	4946	14839
250	4963	14811
251	4979	14780
252	4997	14754
253	5016	14734
254	5034	14708
255	5051	14681
256	5069	14654
257	5087	14631
258	5104	14603
259	5121	14577
260	5138	14548
261	5155	14521
262	5172	14495
263	5190	14471
264	5207	14442
265	5223	14413
266	5240	14385
267	5256	14358
268	5273	14330
269	5290	14303
270	5307	14277
271	5323	14248
272	5342	14226
273	5358	14197
274	5375	14172
275	5392	14145
276	5409	14119
277	5425	14091
278	5444	14069
279	5460	14041
280	5478	14017
281	5494	13989
282	5510	13962
283	5528	13938
284	5545	13911
285	5562	13886
286	5580	13862
287	5597	13838
288	5615	13814
289	5633	13792
290	5651	13770
291	5670	13748
292	5686	13721
293	5703	13696
294	5719	13668
295	5739	13651
296	5757	13627
297	5774	13603
298	5792	13581
299	5808	13554
300	5825	13529
301	5841	13502
302	5859	13478
303	5875	13452
304	5892	13427
305	5909	13403
306	5928	13381
307	5945	13357
308	5962	13334
309	5978	13307
310	5995	13283
311	6011	13257
312	6028	13232
313	6045	13206
314	6062	13183
315	6078	13158
316	6094	13131
317	6111	13107
318	6128	13083
319	6144	13057
320	6161	13032
321	6177	13008
322	6195	12984
323	6211	12959
324	6227	12934
325	6245	12912
326	6262	12888
327	6279	12864
328	6296	12842
329	6313	12818
330	6331	12796
331	6350	12777
332	6370	12759
333	6387	12736
334	6408	12720
335	6430	12707
336	6448	12687
337	6468	12669
338	6490	12655
339	6509	12635
340	6528	12615
341	6550	12602
342	6568	12581
343	6584	12556
344	6600	12531
345	6617	12508
346	6634	12484
347	6652	12464
348	6671	12444
349	6689	12423
350	6706	12400
351	6725	12381
352	6743	12359
353	6759	12334
354	6776	12312
355	6794	12290
356	6813	12272
357	6832	12252
358	6851	12233
359	6869	12213
360	6894	12203
361	6911	12180
362	6931	12163
363	6948	12141
364	6965	12117
365	6982	12094
366	6998	12070
367	7014	12047
368	7031	12024
369	7049	12002
370	7066	11980
371	7083	11957
372	7100	11936
373	7116	11910
374	7133	11888
375	7150	11866
376	7168	11845
377	7184	11822
378	7202	11800
379	7218	11778
380	7235	11754
381	7252	11732
382	7269	11710
383	7286	11688
384	7304	11668
385	7323	11649
386	7343	11631
387	7363	11614
388	7381	11594
389	7399	11574
390	7417	11553
391	7434	11531
392	7451	11508
393	7467	11486
394	7486	11466
395	7502	11443
396	7518	11420
397	7535	11398
398	7553	11377
399	7570	11356
400	7587	11333
401	7604	11312
402	7621	11290
403	7639	11269
404	7656	11247
405	7673	11227
406	7690	11204
407	7707	11183
408	7726	11164
409	7743	11142
410	7760	11121
411	7778	11100
412	7795	11079
413	7812	11057
414	7829	11036
415	7852	11023
416	7875	11010
417	7898	10997
418	7928	10994
419	7951	10981
420	7972	10964
421	7993	10948
422	8018	10937
423	8045	10929
424	8066	10913
425	8088	10898
426	8117	10892
427	8145	10885
428	8170	10874
429	8197	10866
430	8227	10862
431	8252	10850
432	8276	10837
433	8298	10822
434	8321	10807
435	8347	10798
436	8374	10788
437	8396	10773
438	8418	10758
439	8442	10745
440	8463	10727
441	8487	10714
442	8509	10699
443	8530	10682
444	8552	10666
445	8574	10650
446	8594	10632
447	8616	10616
448	8639	10602
449	8664	10589
450	8686	10574
451	8708	10558
452	8730	10541
453	8755	10529
454	8781	10518
455	8802	10501
456	8823	10484
457	8843	10465
458	8866	10450
459	8886	10432
460	8906	10413
461	8929	10398
462	8949	10379
463	8969	10361
464	8990	10343
465	9008	10323
466	9029	10305
467	9051	10289
468	9073	10272
469	9094	10255
470	9116	10239
471	9138	10222
472	9159	10205
473	9179	10186
474	9201	10170
475	9227	10157
476	9252	10144
477	9273	10126
478	9292	10106
479	9313	10090
480	9333	10071
481	9356	10055
482	9382	10042
483	9408	10030
484	9433	10016
485	9459	10004
486	9482	9988
487	9504	9972
488	9525	9953
489	9551	9941
490	9576	9927
491	9606	9918
492	9629	9903
493	9653	9887
494	9681	9877
495	9702	9858
496	9722	9839
497	9743	9821
498	9761	9800
499	9782	9782
500	9803	9764
501	9823	9744
502	9844	9727
503	9865	9708
504	9883	9687
505	9903	9668
506	9922	9648
507	9943	9629
508	9964	9612
509	9983	9592
510	10003	9572
511	10023	9553
512	10043	9534
513	10069	9520
514	10095	9507
515	10119	9492
516	10140	9473
517	10163	9457
518	10185	9439
519	10206	9421
520	10225	9401
521	10245	9382
522	10265	9362
523	10285	9343
524	10304	9323
525	10324	9303
526	10344	9284
527	10367	9267
528	10386	9247
529	10407	9229
530	10426	9208
531	10447	9190
532	10467	9171
533	10487	9151
534	10507	9132
535	10527	9112
536	10547	9094
537	10567	9074
538	10588	9055
539	10608	9036
540	10629	9018
541	10651	9000
542	10672	8982
543	10692	8962
544	10711	8942
545	10732	8923
546	10753	8905
547	10774	8886
548	10795	8868
549	10816	8849
550	10837	8831
551	10858	8813
552	10884	8798
553	10908	8781
554	10930	8764
555	10958	8751
556	10981	8733
557	11007	8719
558	11029	8701
559	11051	8683
560	11072	8664
561	11096	8647
562	11120	8631
563	11145	8615
564	11170	8599
565	11197	8585
566	11228	8574
567	11253	8559
568	11284	8547
569	11317	8537
570	11351	8528
571	11375	8511
572	11404	8498
573	11432	8484
574	11455	8467
575	11476	8448
576	11500	8431
577	11536	8423
578	11558	8404
579	11584	8389
580	11605	8369
581	11630	8353
582	11652	8334
583	11675	8317
584	11706	8304
585	11738	8293
586	11762	8275
587	11788	8259
588	11809	8240
589	11833	8223
590	11858	8206
591	11895	8198
592	11931	8189
593	11969	8181
594	12005	8171
595	12037	8159
596	12060	8141
597	12082	8122
598	12105	8103
599	12127	8085
600	12150	8066
601	12173	8048
602	12195	8029
603	12217	8009
604	12238	7990
605	12261	7972
606	12284	7953
607	12307	7935
608	12329	7915
609	12350	7895
610	12372	7876
611	12392	7856
612	12411	7835
613	12433	7816
614	12456	7797
615	12476	7777
616	12498	7758
617	12519	7738
618	12543	7720
619	12565	7701
620	12588	7682
621	12608	7662
622	12628	7642
623	12659	7628
624	12680	7608
625	12700	7587
626	12723	7569
627	12742	7548
628	12762	7527
629	12782	7506
630	12805	7488
631	12826	7468
632	12847	7448
633	12866	7427
634	12886	7407
635	12904	7385
636	12927	7366
637	12946	7345
638	12969	7326
639	12990	7307
640	13009	7286
641	13029	7265
642	13051	7246
643	13070	7225
644	13089	7204
645	13108	7183
646	13125	7161
647	13144	7140
648	13164	7119
649	13184	7099
650	13201	7077
651	13218	7055
652	13234	7032
653	13251	7010
654	13268	6988
655	13285	6966
656	13303	6945
657	13321	6923
658	13338	6901
659	13355	6879
660	13372	6858
661	13388	6835
662	13406	6814
663	13425	6793
664	13442	6771
665	13460	6750
666	13478	6728
667	13496	6707
668	13515	6687
669	13532	6665
670	13550	6643
671	13573	6625
672	13592	6604
673	13610	6583
674	13628	6561
675	13647	6541
676	13667	6520
677	13686	6500
678	13704	6479
679	13723	6458
680	13740	6436
681	13757	6415
682	13774	6393
683	13792	6371
684	13811	6351
685	13831	6330
686	13847	6309
687	13864	6287
688	13881	6265
689	13898	6244
690	13915	6222
691	13931	6200
692	13947	6178
693	13965	6157
694	13984	6136
695	14000	6114
696	14017	6093
697	14037	6073
698	14059	6054
699	14085	6036
700	14105	6016
701	14132	5999
702	14152	5978
703	14173	5959
704	14192	5938
705	14212	5918
706	14233	5898
707	14253	5878
708	14278	5860
709	14296	5839
710	14319	5820
711	14342	5801
712	14367	5783
713	14390	5764
714	14413	5745
715	14433	5724
716	14451	5704
717	14471	5683
718	14489	5662
719	14507	5641
720	14527	5621
721	14545	5600
722	14568	5581
723	14589	5561
724	14610	5542
725	14630	5521
726	14649	5501
727	14666	5479
728	14684	5458
729	14701	5437
730	14723	5418
731	14746	5398
732	14766	5378
733	14789	5359
734	14815	5341
735	14842	5323
736	14869	5306
737	14893	5287
738	14918	5268
739	14942	5249
740	14971	5233
741	14998	5214
742	15022	5196
743	15045	5176
744	15067	5157
745	15092	5138
746	15121	5121
747	15148	5103
748	15171	5084
749	15205	5068
750	15236	5051
751	15260	5032
752	15289	5015
753	15314	4996
754	15335	4976
755	15360	4957
756	15378	4936
757	15398	4916
758	15418	4895
759	15436	4874
760	15455	4853
761	15476	4833
762	15495	4813
763	15514	4792
764	15533	4771
765	15557	4752
766	15577	4732
767	15596	4711
768	15617	4691
769	15635	4670
770	15655	4649
771	15675	4629
772	15695	4609
773	15717	4589
774	15735	4568
775	15755	4547
776	15774	4527
777	15794	4506
778	15813	4486
779	15840	4467
780	15863	4448
781	15889	4429
782	15913	4410
783	15934	4390
784	15957	4370
785	15983	4351
786	16003	4331
787	16026	4311
788	16045	4290
789	16064	4270
790	16085	4250
791	16102	4229
792	16119	4207
793	16137	4186
794	16155	4165
795	16173	4145
796	16196	4125
797	16217	4105
798	16240	4085
799	16258	4064
800	16276	4043
801	16295	4023
802	16313	4002
803	16331	3981
804	16350	3960
805	16367	3939
806	16386	3918
807	16404	3898
808	16422	3877
809	16441	3856
810	16459	3835
811	16481	3816
812	16503	3796
813	16524	3775
814	16546	3755
815	16565	3735
816	16584	3714
817	16603	3694
818	16622	3673
819	16641	3653
820	16662	3632
821	16683	3612
822	16702	3592
823	16720	3571
824	16746	3552
825	16765	3531
826	16783	3510
827	16803	3490
828	16822	3470
829	16842	3449
830	16866	3430
831	16888	3410
832	16911	3390
833	16933	3370
834	16953	3350
835	16972	3329
836	16994	3309
837	17014	3289
838	17037	3269
839	17059	3249
840	17081	3229
841	17104	3209
842	17125	3189
843	17149	3169
844	17174	3150
845	17203	3131
846	17228	3112
847	17249	3091
848	17269	3071
849	17292	3051
850	17313	3031
851	17331	3010
852	17350	2989
853	17370	2969
854	17391	2949
855	17415	2929
856	17438	2909
857	17460	2889
858	17483	2869
859	17503	2849
860	17528	2829
861	17553	2810
862	17585	2791
863	17605	2771
864	17629	2751
865	17656	2732
866	17680	2712
867	17706	2692
868	17732	2673
869	17755	2653
870	17784	2633
871	17812	2614
872	17845	2596
873	17868	2575
874	17894	2556
875	17918	2536
876	17941	2516
877	17970	2497
878	17995	2477
879	18018	2457
880	18040	2436
881	18063	2416
882	18087	2396
883	18115	2377
884	18146	2358
885	18189	2340
886	18227	2322
887	18250	2301
888	18271	2281
889	18292	2260
890	18314	2240
891	18333	2219
892	18355	2199
893	18376	2178
894	18396	2158
895	18416	2137
896	18437	2117
897	18456	2096
898	18476	2075
899	18494	2054
900	18516	2034
901	18540	2014
902	18563	1994
903	18586	1973
904	18612	1953
905	18643	1934
906	18668	1914
907	18693	1894
908	18717	1873
909	18741	1853
910	18769	1833
911	18800	1814
912	18827	1794
913	18856	1774
914	18884	1754
915	18913	1734
916	18943	1714
917	18964	1693
918	18983	1673
919	19007	1652
920	19030	1632
921	19053	1611
922	19077	1591
923	19100	1570
924	19122	1550
925	19145	1529
926	19167	1509
927	19189	1488
928	19212	1468
929	19235	1447
930	19257	1427
931	19278	1406
932	19300	1385
933	19324	1365
934	19346	1344
935	19368	1324
936	19390	1303
937	19410	1283
938	19431	1262
939	19451	1241
940	19471	1220
941	19490	1200
942	19511	1179
943	19534	1158
944	19556	1138
945	19576	1117
946	19599	1096
947	19619	1076
948	19645	1055
949	19675	1035
950	19703	1015
951	19730	994
952	19763	974
953	19790	954
954	19816	933
955	19844	913
